STATEFIP,DU_WeightedFrequency,StdErrWgtFreq,MOE_freq,DUpercent_prevalenceinSTATE,StdErrofRowPercent,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_StdErrWgtFreq,Poordu_MOE_freq,Poordu_percent,Poordu_StdErrofRowPercent,Poordu_MOE_percent,Poordu_CV_Percent,White_DU_WeightedFrequency,White_StdErrWgtFreq,White_MOE_freq,White_percent,White_StdErrofRowPercent,White_MOE_percent,White_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_StdErrWgtFreq,AIAN_MOE_freq,AIAN_percent,AIAN_StdErrofRowPercent,AIAN_MOE_percent,AIAN_CV_Percent,Black_DU_WeightedFrequency,Black_StdErrWgtFreq,Black_MOE_freq,Black_percent,Black_StdErrofRowPercent,Black_MOE_percent,Black_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_StdErrWgtFreq,Hispanic_MOE_freq,Hispanic_percent,Hispanic_StdErrofRowPercent,Hispanic_MOE_percent,Hispanic_CV_Percent,Asian_DU_WeightedFrequency,Asian_StdErrWgtFreq,Asian_MOE_freq,Asian_percent,Asian_StdErrofRowPercent,Asian_MOE_percent,Asian_CV_Percent,Multi_DU_WeightedFrequency,Multi_StdErrWgtFreq,Multi_MOE_freq,Multi_percent,Multi_StdErrofRowPercent,Multi_MOE_percent,Multi_CV_Percent,Other_DU_WeightedFrequency,Other_StdErrWgtFreq,Other_MOE_freq,Other_percent,Other_StdErrofRowPercent,Other_MOE_percent,Other_CV_Percent,STATEFIP,NHOPI_DU_WeightedFrequency,NHOPI_StdErrWgtFreq,NHOPI_MOE_freq,NHOPI_percent,NHOPI_StdErrofRowPercent,NHOPI_MOE_percent,NHOPI_CV_Percent
34,79889,3138,5162.01,0.8785,0.0331,0.0544495,0.0377,79889,3133,5153.785,6.9533,0.2359,0.3880555,0.0339,21572,1655,2722.475,0.4163,0.0312,0.051324,0.0751,975,278.54256,458.2025112,2.5019,0.7001,1.1516645,0.2798,20603,1561,2567.845,1.7855,0.1285,0.2113825,0.072,36129,2089,3436.405,1.7987,0.0985,0.1620325,0.0548,4444,525.48257,864.4188277,0.4906,0.0574,0.094423,0.1169,12149,1181,1942.745,1.2539,0.1167,0.1919715,0.093,20141,1599,2630.355,2.3959,0.1803,0.2965935,0.0752,34,5,5,8.225,0.2229,0.2252,0.370454,1.0104
35,36346,2990,4918.55,1.7543,0.1229,0.2021705,0.07,36346,2990,4918.55,9.8198,0.5871,0.9657795,0.0598,9378,1185,1949.325,0.853,0.0909,0.1495305,0.1066,10780,1186,1950.97,5.4878,0.4975,0.8183875,0.0907,1079,313.16769,515.1608501,2.5697,0.6952,1.143604,0.2705,19870,2171,3571.295,1.987,0.1957,0.3219265,0.0985,532,278.89425,458.7810413,1.5563,0.8103,1.3329435,0.5207,8718,1580,2599.1,1.9857,0.3416,0.561932,0.172,5828,1032,1697.64,2.2523,0.3759,0.6183555,0.1669,35,31,31,50.995,1.5362,1.5068,2.478686,0.9809
36,270297,6280,10330.6,1.4024,0.0313,0.0514885,0.0223,270297,6253,10286.185,8.3947,0.1691,0.2781695,0.0201,64785,2772,4559.94,0.5881,0.0249,0.0409605,0.0423,2833,504.98631,830.70248,2.8021,0.4872,0.801444,0.1739,64494,2964,4875.78,2.3318,0.103,0.169435,0.0442,112507,4376,7198.52,2.9642,0.1095,0.1801275,0.0369,38523,2094,3444.63,2.246,0.1165,0.1916425,0.0519,30001,1868,3072.86,1.6962,0.1029,0.1692705,0.0607,69013,3279,5393.955,3.6432,0.165,0.271425,0.0453,36,635,220.46693,362.6680999,7.6746,2.5938,4.266801,0.338
37,98557,3567,5867.715,0.9564,0.0334,0.054943,0.0349,98557,3565,5864.425,6.8651,0.2227,0.3663415,0.0324,37430,2032,3342.64,0.5727,0.0304,0.050008,0.0531,2410,320.85283,527.8029054,2.2344,0.2878,0.473431,0.1288,38116,2178,3582.81,1.8181,0.1003,0.1649935,0.0551,19318,1476,2428.02,1.7013,0.1271,0.2090795,0.0747,1528,302.15081,497.0380825,0.4724,0.0932,0.153314,0.1973,9022,1030,1694.35,1.2241,0.138,0.22701,0.1127,10004,1042,1714.09,2.0063,0.2015,0.3314675,0.1005,37,47,11,18.095,0.8705,0.2143,0.3525235,0.2461
38,3260,936.79774,1541.032282,0.4336,0.0829,0.1363705,0.1912,3260,936.79774,1541.032282,4.4905,0.8766,1.442007,0.1952,1128,432.88451,712.095019,0.1791,0.0568,0.093436,0.3172,1605,583.02316,959.0730982,4.7808,1.3461,2.2143345,0.2816,139,103.75452,170.6761854,0.613,0.3818,0.628061,0.6228,225,128.18346,210.8617917,0.6658,0.3524,0.579698,0.5292,72,72,118.44,0.6379,0.6317,1.0391465,0.9902,172,121.1693,199.3234985,0.3971,0.2675,0.4400375,0.6737,144,85.40492,140.4910934,1.4129,0.8496,1.397592,0.6014,38,.,.,.,.,.,.,.
39,80864,2984,4908.68,0.7039,0.0254,0.041783,0.036,80864,2982,4905.39,5.459,0.1844,0.303338,0.0338,43013,1943,3196.235,0.4802,0.0215,0.0353675,0.0447,379,159.90622,263.0457319,2.2477,0.9299,1.5296855,0.4137,24689,1938,3188.01,1.7811,0.1345,0.2212525,0.0755,7062,732.28541,1204.609499,1.3415,0.1358,0.223391,0.1012,1525,315.18352,518.4768904,0.5466,0.112,0.18424,0.2049,8271,873.92958,1437.614159,1.2496,0.1299,0.2136855,0.104,2962,433.65207,713.3576552,1.6309,0.2351,0.3867395,0.1441,39,25,15.58846,25.6430167,0.5391,0.3486,0.573447,0.6466
40,35778,1765,2903.425,0.9226,0.0443,0.0728735,0.048,35778,1765,2903.425,6.0936,0.2747,0.4518815,0.0451,17243,1143,1880.235,0.6648,0.0432,0.071064,0.065,5549,584.98333,962.2975779,1.9159,0.1912,0.314524,0.0998,4598,632.81929,1040.987732,1.7339,0.2348,0.386246,0.1354,5256,699.84748,1151.249105,1.0949,0.1479,0.2432955,0.135,432,140.98581,231.9216575,0.4858,0.1556,0.255962,0.3202,5777,691.64333,1137.753278,1.1635,0.1372,0.225694,0.1179,1976,385.6958,634.469591,1.4341,0.2782,0.457639,0.194,40,203,124.95999,205.5591836,3.3372,2.1134,3.476543,0.6333
41,31827,2263,3722.635,0.7684,0.0517,0.0850465,0.0672,31827,2263,3722.635,5.9778,0.3778,0.621481,0.0632,20822,1902,3128.79,0.6564,0.0576,0.094752,0.0877,764,212.04035,348.8063758,1.7142,0.4764,0.783678,0.2779,912,254.62712,418.8616124,1.184,0.3195,0.5255775,0.2699,7376,944.87859,1554.325281,1.2426,0.1542,0.253659,0.1241,1147,268.06073,440.9599009,0.6215,0.1454,0.239183,0.2339,4322,746.26224,1227.601385,0.967,0.163,0.268135,0.1685,3382,574.92922,945.7585669,1.6854,0.2801,0.4607645,0.1662,41,455,191.92967,315.7243072,3.257,1.3245,2.1788025,0.4067
42,99031,4294,7063.63,0.7882,0.0335,0.0551075,0.0425,99031,4285,7048.825,6.38,0.2523,0.4150335,0.0395,39905,2069,3403.505,0.4183,0.0214,0.035203,0.0511,573,232.14345,381.8759753,2.65,1.0583,1.7409035,0.3993,30331,2594,4267.13,2.3246,0.1917,0.3153465,0.0825,24085,2346,3859.17,2.2799,0.2167,0.3564715,0.095,4518,793.02344,1304.523559,0.9678,0.1689,0.2778405,0.1745,10812,1406,2312.87,1.3753,0.1764,0.290178,0.1282,12715,1795,2952.775,2.882,0.3996,0.657342,0.1387,42,177,65.62012,107.9450974,4.4697,1.7123,2.8167335,0.3831
44,4720,559.86159,920.9723156,0.4493,0.047,0.077315,0.1046,4720,559.86159,920.9723156,3.9759,0.4213,0.6930385,0.106,2322,366.79149,603.3720011,0.3053,0.046,0.07567,0.1506,16,9.38083,15.43146535,0.3588,0.2392,0.393484,0.6666,470,264.04545,434.3547653,0.7746,0.4166,0.685307,0.5379,1890,304.06414,500.1855103,1.0305,0.1731,0.2847495,0.168,388,168.78389,277.6494991,1.115,0.4729,0.7779205,0.4241,567,200.84073,330.3830009,0.5054,0.1692,0.278334,0.3348,887,224.57738,369.4297901,1.1468,0.3336,0.548772,0.2909,44,70,70,115.15,23.569,19.5097,32.0934565,0.8278
45,57848,2915,4795.175,1.1399,0.0549,0.0903105,0.0481,57848,2915,4795.175,7.7633,0.3437,0.5653865,0.0443,19625,1301,2140.145,0.6029,0.0393,0.0646485,0.0652,404,163.49389,268.9474491,2.3641,0.901,1.482145,0.3811,30387,2252,3704.54,2.3885,0.1674,0.275373,0.0701,5861,813.93438,1338.922055,1.6333,0.2251,0.3702895,0.1378,617,170.77337,280.9221937,0.7019,0.194,0.31913,0.2764,4252,650.83289,1070.620104,1.4444,0.2209,0.3633805,0.1529,2514,492.29568,809.8263936,1.7457,0.3367,0.5538715,0.1928,45,49,32.93934,54.1852143,1.2281,0.8578,1.411081,0.6985
46,8965,2477,4074.665,1.034,0.261,0.429345,0.2524,8965,2477,4074.665,9.2446,1.7449,2.8703605,0.1887,1630,443.36779,729.3400146,0.2299,0.0594,0.097713,0.2586,6544,2356,3875.62,9.809,1.857,3.054765,0.1893,190,132.10602,217.3144029,0.9631,0.5462,0.898499,0.5671,267,93.74967,154.2182072,0.6734,0.2211,0.3637095,0.3283,403,179.37949,295.0792611,3.2086,1.1983,1.9712035,0.3735,162,83.72574,137.7288423,0.3554,0.1771,0.2913295,0.4982,36,19.0263,31.2982635,0.2806,0.133,0.218785,0.474,46,.,.,.,.,.,.,.
47,72471,3334,5484.43,1.0599,0.0468,0.076986,0.0441,72471,3300,5428.5,7.3708,0.3001,0.4936645,0.0407,39155,1924,3164.98,0.7782,0.0367,0.0603715,0.0472,198,104.95713,172.6544789,1.1676,0.6291,1.0348695,0.5388,20896,2058,3385.41,1.9555,0.1857,0.3054765,0.095,9944,1467,2413.215,2.0288,0.2906,0.478037,0.1433,909,263.6357,433.6807265,0.7186,0.2072,0.340844,0.2883,6850,911.18138,1498.89337,1.6538,0.2131,0.3505495,0.1289,4382,1130,1858.85,2.5006,0.6251,1.0282895,0.25,47,81,44.87761,73.82366845,1.8502,1.0192,1.676584,0.5509
48,385673,7648,12580.96,1.3283,0.0257,0.0422765,0.0193,385673,7611,12520.095,8.3461,0.147,0.241815,0.0176,137372,4531,7453.495,0.8801,0.0283,0.0465535,0.0322,3256,590.66906,971.6506037,1.728,0.3082,0.506989,0.1783,64745,3206,5273.87,1.8552,0.0895,0.1472275,0.0483,243840,6043,9940.735,2.116,0.0508,0.083566,0.024,12874,1633,2686.285,0.8297,0.104,0.17108,0.1253,106892,3936,6474.72,1.8921,0.0675,0.1110375,0.0357,60081,2578,4240.81,2.386,0.0988,0.162526,0.0414,48,453,111.77507,183.8699902,1.6754,0.4221,0.6943545,0.2519
49,19798,1399,2301.355,0.6041,0.0433,0.0712285,0.0716,19798,1399,2301.355,6.2355,0.4082,0.671489,0.0655,11047,1050,1727.25,0.4182,0.04,0.0658,0.0957,944,268.40579,441.5275246,2.8636,0.7737,1.2727365,0.2702,308,137.48697,226.1660657,0.8419,0.3806,0.626087,0.4521,6994,1100,1809.5,1.3806,0.218,0.35861,0.1579,1488,470.72072,774.3355844,1.9531,0.5929,0.9753205,0.3036,1990,418.08651,687.752309,0.7286,0.1496,0.246092,0.2054,3632,748.23481,1230.846262,1.9279,0.3925,0.6456625,0.2036,49,363,154.97226,254.9293677,1.3132,0.5457,0.8976765,0.4156
50,2311,692.94661,1139.897173,0.3725,0.1011,0.1663095,0.2712,2311,692.94661,1139.897173,3.5368,0.9031,1.4855995,0.2553,2023,629.89126,1036.171123,0.3569,0.11,0.18095,0.3083,13,13,21.385,1.1255,0.7573,1.2457585,0.6728,.,.,.,.,.,.,.,67,48.54894,79.8630063,0.456,0.2907,0.4782015,0.6375,147,147,241.815,1.4095,1.357,2.232265,0.9628,93,38.48376,63.3057852,0.3045,0.1336,0.219772,0.4386,35,27.51363,45.25992135,0.8074,0.6741,1.1088945,0.8349,50,.,.,.,.,.,.,.
51,63954,2696,4434.92,0.7594,0.0312,0.051324,0.0411,63954,2695,4433.275,6.6014,0.252,0.41454,0.0382,23087,1552,2553.04,0.4433,0.0295,0.0485275,0.0665,519,222.1432,365.425564,2.1235,0.8845,1.4550025,0.4166,21875,1514,2490.53,1.4078,0.0949,0.1561105,0.0674,14835,1515,2492.175,1.6301,0.1616,0.265832,0.0991,3640,504.2833,829.5460285,0.6314,0.087,0.143115,0.1378,6134,803.69522,1322.078637,0.8651,0.111,0.182595,0.1283,8681,1268,2085.86,2.5236,0.3572,0.587594,0.1416,51,18,18,29.61,0.3372,0.3384,0.556668,1.0035
53,50363,2462,4049.99,0.6637,0.032,0.05264,0.0483,50363,2462,4049.99,5.9313,0.268,0.44086,0.0452,25534,1784,2934.68,0.4956,0.0344,0.056588,0.0695,2479,399.7089,657.5211405,2.8233,0.4391,0.7223195,0.1555,3033,484.14745,796.4225553,1.0277,0.1625,0.2673125,0.1582,13316,1353,2225.685,1.2487,0.1243,0.2044735,0.0996,4188,571.41465,939.9770993,0.5898,0.0793,0.1304485,0.1345,7074,789.69575,1299.049509,0.8109,0.089,0.146405,0.1098,6612,879.81344,1447.293109,1.5782,0.2052,0.337554,0.13,53,1157,355.97856,585.5847312,2.4587,0.7346,1.208417,0.2988
54,19450,1937,3186.365,1.1226,0.0835,0.1373575,0.0744,19450,1937,3186.365,7.0276,0.4663,0.7670635,0.0663,17047,1854,3049.83,1.0769,0.0904,0.148708,0.084,.,.,.,.,.,.,.,1106,324.84458,534.3693341,2.2593,0.6871,1.1302795,0.3041,288,176.91241,291.0209145,0.8514,0.5292,0.870534,0.6215,106,65.31462,107.4425499,0.7774,0.4801,0.7897645,0.6177,1077,245.48727,403.8265592,1.4635,0.3315,0.5453175,0.2265,96,68.11755,112.0533698,0.8487,0.6152,1.012004,0.7249,54,18,0,0,4.712,0.2739,0.4505655,0.0581
55,23751,1774,2918.23,0.413,0.0305,0.0501725,0.0739,23751,1774,2918.23,4.0707,0.2841,0.4673445,0.0698,12631,1201,1975.645,0.2698,0.0255,0.0419475,0.0944,827,199.24257,327.7540277,1.9852,0.4658,0.766241,0.2346,5798,1042,1714.09,1.701,0.299,0.491855,0.1758,3148,625.51554,1028.973063,0.7002,0.1374,0.226023,0.1962,1264,440.88874,725.2619773,0.757,0.262,0.43099,0.3461,2300,437.57162,719.8053149,0.598,0.1123,0.1847335,0.1878,911,377.84084,621.5481818,0.6858,0.2829,0.4653705,0.4124,55,20,20,32.9,0.7042,0.7147,1.1756815,1.0148
56,2378,891.5952,1466.674104,0.42,0.0841,0.1383445,0.2003,2378,891.5952,1466.674104,4.0726,0.6311,1.0381595,0.155,992,363.69493,598.2781599,0.2035,0.0421,0.0692545,0.2068,483,248.66242,409.0496809,4.0891,0.9761,1.6056845,0.2387,35,35,57.575,0.7491,0.7009,1.1529805,0.9357,950,521.16696,857.3196492,1.6035,0.6278,1.032731,0.3915,55,55,90.475,1.2258,1.0362,1.704549,0.8453,265,177.06778,291.2764981,0.6722,0.3422,0.562919,0.509,548,408.43482,671.8752789,3.0632,2.0019,3.2931255,0.6535,56,.,.,.,.,.,.,.
