STATEFIP,DU_WeightedFrequency,StdErrWgtFreq,MOE_freq,DUpercent_prevalenceinSTATE,StdErrofRowPercent,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_StdErrWgtFreq,Poordu_MOE_freq,Poordu_percent,Poordu_StdErrofRowPercent,Poordu_MOE_percent,Poordu_CV_Percent,White_DU_WeightedFrequency,White_StdErrWgtFreq,White_MOE_freq,White_percent,White_StdErrofRowPercent,White_MOE_percent,White_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_StdErrWgtFreq,AIAN_MOE_freq,AIAN_percent,AIAN_StdErrofRowPercent,AIAN_MOE_percent,AIAN_CV_Percent,Black_DU_WeightedFrequency,Black_StdErrWgtFreq,Black_MOE_freq,Black_percent,Black_StdErrofRowPercent,Black_MOE_percent,Black_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_StdErrWgtFreq,Hispanic_MOE_freq,Hispanic_percent,Hispanic_StdErrofRowPercent,Hispanic_MOE_percent,Hispanic_CV_Percent,Asian_DU_WeightedFrequency,Asian_StdErrWgtFreq,Asian_MOE_freq,Asian_percent,Asian_StdErrofRowPercent,Asian_MOE_percent,Asian_CV_Percent,Multi_DU_WeightedFrequency,Multi_StdErrWgtFreq,Multi_MOE_freq,Multi_percent,Multi_StdErrofRowPercent,Multi_MOE_percent,Multi_CV_Percent,Other_DU_WeightedFrequency,Other_StdErrWgtFreq,Other_MOE_freq,Other_percent,Other_StdErrofRowPercent,Other_MOE_percent,Other_CV_Percent,STATEFIP,NHOPI_DU_WeightedFrequency,NHOPI_StdErrWgtFreq,NHOPI_MOE_freq,NHOPI_percent,NHOPI_StdErrofRowPercent,NHOPI_MOE_percent,NHOPI_CV_Percent
13,135077,4776,7856.52,1.2777,0.0431,0.0708995,0.0337,135077,4776,7856.52,8.5578,0.2603,0.4281935,0.0304,39785,2092,3441.34,0.7148,0.0367,0.0603715,0.0514,1477,315.24486,518.5777947,3.5161,0.7423,1.2210835,0.2111,69413,3836,6310.22,2.1095,0.1099,0.1807855,0.0521,21261,1750,2878.75,1.8678,0.1478,0.243131,0.0791,3575,517.98361,852.0830385,0.7765,0.1119,0.1840755,0.1441,10325,1259,2071.055,1.3485,0.1573,0.2587585,0.1167,10458,1149,1890.105,2.3792,0.255,0.419475,0.1072,13,44,0,0,0.5864,0.0448,0.073696,0.0764
15,19301,2230,3668.35,1.3727,0.1322,0.217469,0.0963,19301,2230,3668.35,10.7358,0.9081,1.4938245,0.0846,1718,361.14355,594.0811398,0.5557,0.1172,0.192794,0.2109,19,19,31.255,0.6456,0.6559,1.0789555,1.016,209,111.53026,183.4672777,0.8461,0.4183,0.6881035,0.4945,2128,413.95813,680.9611239,1.557,0.2604,0.428358,0.1673,3957,888.13907,1460.98877,0.7559,0.1513,0.2488885,0.2002,6818,993.90643,1634.976077,1.7706,0.1898,0.312221,0.1072,447,218.49256,359.4202612,1.9885,0.9889,1.6267405,0.4973,15,6067,1502,2470.79,4.4451,0.9395,1.5454775,0.2113
16,9431,1278,2102.31,0.5115,0.0669,0.1100505,0.1309,9431,1278,2102.31,4.8292,0.6571,1.0809295,0.1361,6539,1140,1875.3,0.4249,0.0724,0.119098,0.1703,379,94.98421,156.2490255,1.7489,0.4398,0.723471,0.2515,589,227.04405,373.4874623,4.2718,1.6404,2.698458,0.384,1757,404.69618,665.7252161,0.7137,0.1616,0.265832,0.2265,66,39.97499,65.75885855,0.2656,0.1568,0.257936,0.5903,733,280.96708,462.1908466,0.4735,0.1698,0.279321,0.3586,1117,366.81467,603.4101322,1.2813,0.4317,0.7101465,0.3369,16,8,6.32456,10.4039012,0.3244,0.2602,0.428029,0.802
17,103225,3624,5961.48,0.8315,0.0286,0.047047,0.0344,103225,3617,5949.965,6.5942,0.2078,0.341831,0.0315,30643,1650,2714.25,0.3904,0.0208,0.034216,0.0534,975,287.31648,472.6356096,1.5315,0.4448,0.731696,0.2904,37895,2248,3697.96,2.2645,0.1306,0.214837,0.0577,32385,2192,3605.84,1.3961,0.0919,0.1511755,0.0658,5344,830.36223,1365.945868,0.7431,0.1145,0.1883525,0.154,13055,1355,2228.975,1.1044,0.1118,0.183911,0.1012,15183,1523,2505.335,1.6501,0.1616,0.265832,0.098,17,130,18.86796,31.0377942,2.6569,0.4175,0.6867875,0.1572
18,48109,2509,4127.305,0.7253,0.0367,0.0603715,0.0506,48109,2509,4127.305,5.8821,0.2791,0.4591195,0.0475,31439,1917,3153.465,0.6041,0.0361,0.0593845,0.0598,105,73.61556,121.0975962,0.6272,0.4398,0.723471,0.7012,9551,1328,2184.56,1.5754,0.2143,0.3525235,0.1361,6248,885.71918,1457.008051,1.115,0.1529,0.2515205,0.1371,809,210.97367,347.0516872,0.4892,0.1274,0.209573,0.2604,3659,493.48387,811.7809662,0.8629,0.114,0.18753,0.1321,2475,524.03918,862.0444511,1.1571,0.239,0.393155,0.2066,18,71,71,116.795,3.6485,3.4579,5.6882455,0.9478
19,15371,1715,2821.175,0.4962,0.0525,0.0863625,0.1059,15371,1714,2819.53,4.7525,0.4679,0.7696955,0.0985,9096,995.72787,1637.972346,0.3427,0.036,0.05922,0.1049,246,119.35137,196.3330037,2.6151,1.2167,2.0014715,0.4653,2183,898.04552,1477.28488,1.8833,0.7518,1.236711,0.3992,1972,545.20317,896.8592147,0.9013,0.2422,0.398419,0.2687,830,338.34819,556.5827726,1.1126,0.4442,0.730709,0.3992,1779,517.42222,851.1595519,0.9969,0.2758,0.453691,0.2766,963,379.01583,623.4810404,1.5741,0.602,0.99029,0.3825,19,274,186.70029,307.1219771,7.3676,4.7991,7.8945195,0.6514
20,18037,1502,2470.79,0.6327,0.0513,0.0843885,0.081,18037,1502,2470.79,5.6116,0.4172,0.686294,0.0743,10436,1216,2000.32,0.4702,0.054,0.08883,0.1149,604,288.99539,475.3974166,2.8839,1.3485,2.2182825,0.4676,1748,408.01266,671.1808257,1.2174,0.285,0.468825,0.2341,4634,679.9875,1118.579438,1.214,0.1759,0.2893555,0.1449,799,322.23128,530.0704556,0.9531,0.3774,0.620823,0.396,2786,520.37262,856.0129599,1.0461,0.1859,0.3058055,0.1777,1579,318.7214,524.296703,1.3801,0.2624,0.431648,0.1901,20,85,76,125.02,3.6989,3.1266,5.143257,0.8453
21,50107,2542,4181.59,1.1418,0.0546,0.089817,0.0478,50107,2542,4181.59,7.2341,0.3209,0.5278805,0.0444,39429,2294,3773.63,1.0714,0.0592,0.097384,0.0552,83,54.35991,89.42205195,1.2914,0.8577,1.4109165,0.6642,5068,757.69969,1246.41599,1.5061,0.2144,0.352688,0.1424,3154,551.20061,906.7250035,1.527,0.2655,0.4367475,0.1739,505,164.73561,270.9900785,0.7569,0.2434,0.400393,0.3216,3787,541.9158,891.451491,1.6494,0.2277,0.3745665,0.1381,1154,271.70082,446.9478489,1.7665,0.4118,0.677411,0.2331,21,81,33,54.285,2.5682,1.0901,1.7932145,0.4245
22,73087,3666,6030.57,1.6252,0.0742,0.122059,0.0457,73087,3655,6012.475,8.5701,0.3573,0.5877585,0.0417,22112,1637,2692.865,0.8425,0.0598,0.098371,0.0709,522,142.58814,234.5574903,1.9645,0.5421,0.8917545,0.276,42836,2834,4661.93,3.1021,0.1855,0.3051475,0.0598,4330,934.31221,1536.943585,1.3892,0.2891,0.4755695,0.2081,736,182.00238,299.3939151,0.9571,0.2352,0.386904,0.2458,4063,590.26434,970.9848393,1.4116,0.2,0.329,0.1417,2806,812.77704,1337.018231,2.8542,0.7822,1.286719,0.274,22,12,0,0,0.5571,0.0891,0.1465695,0.1599
23,6631,994.10278,1635.299073,0.4955,0.064,0.10528,0.1292,6631,994.10278,1635.299073,4.6697,0.5676,0.933702,0.1216,5858,999.49721,1644.17291,0.478,0.0718,0.118111,0.1503,118,53.67805,88.30039225,1.9466,0.7861,1.2931345,0.4038,268,165.65023,272.4946284,1.2592,0.7178,1.180781,0.57,10,7.2111,11.8622595,0.0372,0.0269,0.0442505,0.7233,56,45.9565,75.5984425,0.4163,0.3457,0.5686765,0.8304,308,137.04257,225.4350277,0.487,0.2194,0.360913,0.4505,23,16.76305,27.57521725,0.2745,0.2069,0.3403505,0.7539,23,.,.,.,.,.,.,.
