STATEFIP,White_Poordu_WeightedFrequency,White_Poordu_StdErrWgtFreq,White_Poordu_MOE_freq,White_Poordu_percent,White_Poordu_StdErrofRowPercent,White_Poordu_MOE_percent,White_Poordu_CV_Percent,Black_Poordu_WeightedFrequency,Black_Poordu_StdErrWgtFreq,Black_Poordu_MOE_freq,Black_Poordu_percent,Black_Poordu_StdErrofRowPercent,Black_Poordu_MOE_percent,Black_Poordu_CV_Percent,AIAN_Poordu_WeightedFrequency,AIAN_Poordu_StdErrWgtFreq,AIAN_Poordu_MOE_freq,AIAN_Poordu_percent,AIAN_Poordu_StdErrofRowPercent,AIAN_Poordu_MOE_percent,AIAN_Poordu_CV_Percent,Asian_Poordu_WeightedFrequency,Asian_Poordu_StdErrWgtFreq,Asian_Poordu_MOE_freq,Asian_Poordu_percent,Asian_Poordu_StdErrofRowPercent,Asian_Poordu_MOE_percent,Asian_Poordu_CV_Percent,NHOPI_Poordu_WeightedFrequency,NHOPI_Poordu_StdErrWgtFreq,NHOPI_Poordu_MOE_freq,NHOPI_Poordu_percent,NHOPI_Poordu_StdErrofRowPercent,NHOPI_Poordu_MOE_percent,NHOPI_Poordu_CV_Percent,Multi_Poordu_WeightedFrequency,Multi_Poordu_StdErrWgtFreq,Multi_Poordu_MOE_freq,Multi_Poordu_percent,Multi_Poordu_StdErrofRowPercent,Multi_Poordu_MOE_percent,Multi_Poordu_CV_Percent,Other_Poordu_WeightedFrequency,Other_Poordu_StdErrWgtFreq,Other_Poordu_MOE_freq,Other_Poordu_percent,Other_Poordu_StdErrofRowPercent,Other_Poordu_MOE_percent,Other_Poordu_CV_Percent,Hisp_Poordu_WeightedFrequency,Hisp_Poordu_StdErrWgtFreq,Hisp_Poordu_MOE_freq,Hisp_Poordu_percent,Hisp_Poordu_StdErrofRowPercent,Hisp_Poordu_MOE_percent,Hisp_Poordu_CV_Percent
45,19625,1301,2140.145,6.0748,0.3716,0.611282,0.0612,30387,2251,3702.895,9.5191,0.5944,0.977788,0.0624,404,162.95398,268.0592971,10.1228,2.8705,4.7219725,0.2836,617,168.21678,276.7166031,7.1058,1.871,3.077795,0.2633,49,32.80244,53.9600138,4.7898,3.7029,6.0912705,0.7731,4252,645.41619,1061.709633,8.1705,1.2187,2.0047615,0.1492,2514,481.38368,791.8761536,6.7704,1.2177,2.0031165,0.1799,5861,804.20978,1322.925088,7.3638,0.956,1.57262,0.1298
46,1630,443.36779,729.3400146,3.1239,0.7486,1.231447,0.2396,190,132.10602,217.3144029,4.2735,2.2433,3.6902285,0.5249,6544,2356,3875.62,22.91,2.4626,4.050977,0.1075,403,179.36834,295.0609193,19.2179,6.5724,10.811598,0.342,.,.,.,.,.,.,.,162,83.72574,137.7288423,2.0671,0.9651,1.5875895,0.4669,36,15.52417,25.53725965,1.9555,0.7913,1.3016885,0.4047,267,88.87069,146.1922851,4.092,1.3753,2.2623685,0.3361
47,39155,1895,3117.275,6.791,0.2906,0.478037,0.0428,20896,2051,3373.895,8.318,0.7337,1.2069365,0.0882,198,104.49402,171.8926629,3.4156,1.9971,3.2852295,0.5847,909,250.73479,412.4587296,7.2755,1.8266,3.004757,0.2511,81,4.12311,6.78251595,11.5385,1.2494,2.055263,0.1083,6850,903.20418,1485.770876,7.9047,0.9331,1.5349495,0.118,4382,1124,1848.98,8.8213,2.1291,3.5023695,0.2414,9944,1460,2401.7,7.9281,1.0959,1.8027555,0.1382
48,137372,4502,7405.79,7.2,0.2113,0.3475885,0.0294,64745,3176,5224.52,8.2928,0.3709,0.6101305,0.0447,3256,571.27929,939.7544321,9.5007,1.5304,2.517508,0.1611,12874,1618,2661.61,6.9107,0.7987,1.3138615,0.1156,453,85.95541,141.3966495,11.6482,2.0976,3.450552,0.1801,106892,3866,6359.57,9.5211,0.3098,0.509621,0.0325,60081,2518,4142.11,10.2684,0.3867,0.6361215,0.0377,243840,5983,9842.035,9.6981,0.2122,0.349069,0.0219
49,11047,1050,1727.25,5.1183,0.45,0.74025,0.0879,308,135.23806,222.4666087,3.3639,1.6512,2.716224,0.4909,944,256.28818,421.5940561,13.188,3.3447,5.5020315,0.2536,1488,470.18486,773.4540947,14.413,3.6844,6.060838,0.2556,363,111.75867,183.8430122,6.6108,1.7282,2.842889,0.2614,1990,414.88585,682.4872233,5.5778,1.0794,1.775613,0.1935,3632,740.89439,1218.771272,10.7395,1.9458,3.200841,0.1812,6994,1095,1801.275,8.5923,1.2163,2.0008135,0.1416
50,2023,629.89126,1036.171123,3.5914,1.0269,1.6892505,0.2859,.,.,#VALUE!,.,.,#VALUE!,.,13,0,0,4.6931,1.6715,2.7496175,0.3562,147,147,241.815,8.8875,7.2585,11.9402325,0.8167,.,.,.,.,.,.,.,93,38.48376,63.3057852,1.9207,1.1396,1.874642,0.5933,35,26,42.77,4.8611,3.879,6.380955,0.798,67,48.54894,79.8630063,4.9084,2.4683,4.0603535,0.5029
51,23087,1551,2551.395,5.2689,0.333,0.547785,0.0632,21875,1510,2483.95,7.2251,0.4495,0.7394275,0.0622,519,202.98276,333.9066402,12.2089,4.081,6.713245,0.3343,3640,499.55298,821.7646521,6.2674,0.7829,1.2878705,0.1249,18,18,29.61,4,3.8766,6.377007,0.9691,6134,794.20271,1306.463458,6.8553,0.8186,1.346597,0.1194,8681,1242,2043.09,11.483,1.3992,2.301684,0.1218,14835,1494,2457.63,9.352,0.8459,1.3915055,0.0905
53,25534,1784,2934.68,5.2875,0.3478,0.572131,0.0658,3033,479.65587,789.0339062,4.8138,0.7286,1.198547,0.1513,2479,397.17091,653.346147,14.3055,1.8572,3.055094,0.1298,4188,570.23853,938.0423819,5.8739,0.7296,1.200192,0.1242,1157,273.97615,450.6907668,14.7746,3.1329,5.1536205,0.212,7074,775.45669,1275.626255,5.808,0.5903,0.9710435,0.1016,6612,866.20792,1424.912028,7.8906,0.9571,1.5744295,0.1213,13316,1348,2217.46,6.959,0.6462,1.062999,0.0929
54,17047,1854,3049.83,7.0614,0.5384,0.885668,0.0762,1106,323.82506,532.6922237,7.7516,2.1411,3.5221095,0.2762,.,.,#VALUE!,.,.,#VALUE!,.,106,65.30697,107.4299657,6.4359,3.8828,6.387206,0.6033,18,0,0,100,0,0,0,1077,242.08538,398.2304501,6.1392,1.2852,2.114154,0.2093,96,68.11755,112.0533698,6.053,4.083,6.716535,0.6745,288,176.91241,291.0209145,5.1808,2.9896,4.917892,0.5771
55,12631,1201,1975.645,3.3466,0.3073,0.5055085,0.0918,5798,1041,1712.445,6.2166,0.9986,1.642697,0.1606,827,192.06266,315.9430757,10.0097,2.0769,3.4165005,0.2075,1264,436.09072,717.3692344,6.2398,2.0455,3.3648475,0.3278,20,0,0,6.6225,1.3163,2.1653135,0.1988,2300,426.72042,701.9550909,3.9153,0.7329,1.2056205,0.1872,911,375.99102,618.5052279,3.6145,1.4367,2.3633715,0.3975,3148,620.62529,1020.928602,3.9664,0.7513,1.2358885,0.1894
56,992,363.69493,598.2781599,2.1354,0.3881,0.6384245,0.1817,35,35,57.575,3.0594,2.7403,4.5077935,0.8957,483,248.66242,409.0496809,14.6098,3.4003,5.5934935,0.2327,55,0,0,7.7793,0.066,0.10857,0.0085,.,.,.,.,.,.,.,265,177.06778,291.2764981,6.7106,3.3399,5.4941355,0.4977,548,408.43482,671.8752789,19.5435,10.9465,18.0069925,0.5601,950,521.16696,857.3196492,12.4037,5.0975,8.3853875,0.411
