STATEFIP,White_Poordu_WeightedFrequency,White_Poordu_StdErrWgtFreq,White_Poordu_MOE_freq,White_Poordu_percent,White_Poordu_StdErrofRowPercent,White_Poordu_MOE_percent,White_Poordu_CV_Percent,Black_Poordu_WeightedFrequency,Black_Poordu_StdErrWgtFreq,Black_Poordu_MOE_freq,Black_Poordu_percent,Black_Poordu_StdErrofRowPercent,Black_Poordu_MOE_percent,Black_Poordu_CV_Percent,AIAN_Poordu_WeightedFrequency,AIAN_Poordu_StdErrWgtFreq,AIAN_Poordu_MOE_freq,AIAN_Poordu_percent,AIAN_Poordu_StdErrofRowPercent,AIAN_Poordu_MOE_percent,AIAN_Poordu_CV_Percent,Asian_Poordu_WeightedFrequency,Asian_Poordu_StdErrWgtFreq,Asian_Poordu_MOE_freq,Asian_Poordu_percent,Asian_Poordu_StdErrofRowPercent,Asian_Poordu_MOE_percent,Asian_Poordu_CV_Percent,NHOPI_Poordu_WeightedFrequency,NHOPI_Poordu_StdErrWgtFreq,NHOPI_Poordu_MOE_freq,NHOPI_Poordu_percent,NHOPI_Poordu_StdErrofRowPercent,NHOPI_Poordu_MOE_percent,NHOPI_Poordu_CV_Percent,Multi_Poordu_WeightedFrequency,Multi_Poordu_StdErrWgtFreq,Multi_Poordu_MOE_freq,Multi_Poordu_percent,Multi_Poordu_StdErrofRowPercent,Multi_Poordu_MOE_percent,Multi_Poordu_CV_Percent,Other_Poordu_WeightedFrequency,Other_Poordu_StdErrWgtFreq,Other_Poordu_MOE_freq,Other_Poordu_percent,Other_Poordu_StdErrofRowPercent,Other_Poordu_MOE_percent,Other_Poordu_CV_Percent,Hisp_Poordu_WeightedFrequency,Hisp_Poordu_StdErrWgtFreq,Hisp_Poordu_MOE_freq,Hisp_Poordu_percent,Hisp_Poordu_StdErrofRowPercent,Hisp_Poordu_MOE_percent,Hisp_Poordu_CV_Percent
13,39785,2091,3439.695,7.1047,0.3384,0.556668,0.0476,69413,3832,6303.64,10.0011,0.4672,0.768544,0.0467,1477,290.96758,478.6416691,12.1935,2.2688,3.732176,0.1861,3575,511.68537,841.7224337,6.314,0.812,1.33574,0.1286,44,0,0,2.9139,0.1371,0.2255295,0.047,10325,1246,2049.67,7.4271,0.7463,1.2276635,0.1005,10458,1123,1847.335,9.0854,0.9207,1.5145515,0.1013,21261,1729,2844.205,8.0586,0.5676,0.933702,0.0704
15,1718,361.14355,594.0811398,4.475,0.9314,1.532153,0.2081,209,111.53026,183.4672777,4.9397,2.4222,3.984519,0.4904,19,19,31.255,3.5316,3.5374,5.819023,1.0016,3957,888.13907,1460.98877,8.5025,1.5133,2.4893785,0.178,6067,1502,2470.79,16.7861,2.8519,4.6913755,0.1699,6818,993.90643,1634.976077,13.912,1.4525,2.3893625,0.1044,447,197.87622,325.5063819,10.1269,4.5419,7.4714255,0.4485,2128,413.86753,680.8120869,9.4414,1.4405,2.3696225,0.1526
16,6539,1140,1875.3,4.3351,0.7672,1.262044,0.177,589,198.07069,325.8262851,19.261,4.4496,7.319592,0.231,379,87.84551,144.505864,7.8696,1.8596,3.059042,0.2363,66,39.97499,65.75885855,2.1366,1.1905,1.9583725,0.5572,8,0,0,2.9963,0.1683,0.2768535,0.0562,733,280.96708,462.1908466,3.8565,1.3808,2.271416,0.358,1117,363.89742,598.6112559,7.8579,2.4816,4.082232,0.3158,1757,401.86026,661.0601277,4.6912,1.086,1.78647,0.2315
17,30643,1645,2706.025,4.3993,0.2201,0.3620645,0.05,37895,2237,3679.865,8.6283,0.47,0.77315,0.0545,975,282.88463,465.3452164,9.3382,2.4278,3.993731,0.26,5344,823.59552,1354.81463,6.2056,0.8894,1.463063,0.1433,130,0,0,20.7337,0.3637,0.5982865,0.0175,13055,1335,2196.075,7.4834,0.6897,1.1345565,0.0922,15183,1498,2464.21,9.6124,0.8174,1.344623,0.085,32385,2175,3577.875,8.5502,0.4969,0.8174005,0.0581
18,31439,1917,3153.465,6.1608,0.3455,0.5683475,0.0561,9551,1323,2176.335,5.8544,0.7662,1.260399,0.1309,105,73.09925,120.2482663,4.4492,3.1474,5.177473,0.7074,809,188.83432,310.6324564,3.3243,0.7811,1.2849095,0.235,71,0,0,20.8211,0.5495,0.9039275,0.0264,3659,489.12372,804.6085194,5.1038,0.6649,1.0937605,0.1303,2475,517.85754,851.8756533,5.4556,1.071,1.761795,0.1963,6248,880.37658,1448.219474,6.0287,0.7977,1.3122165,0.1323
19,9096,994.61078,1636.134733,3.858,0.3815,0.6275675,0.0989,2183,896.84432,1475.308906,6.2777,2.3871,3.9267795,0.3802,246,107.77214,177.2851703,11.1971,4.7756,7.855862,0.4265,830,332.01893,546.1711399,8.1158,2.9537,4.8588365,0.3639,274,154.00325,253.3353463,23.5395,13.5733,22.3280785,0.5766,1779,506.73254,833.5750283,6.5479,1.6694,2.746163,0.2549,963,359.49975,591.3770888,7.939,2.8171,4.6341295,0.3548,1972,529.33242,870.7518309,5.411,1.3743,2.2607235,0.254
20,10436,1216,2000.32,5.063,0.546,0.89817,0.1078,1748,407.63603,670.5612694,5.4129,1.204,1.98058,0.2224,604,288.88925,475.2228163,14.9209,6.0148,9.894346,0.4031,799,321.9912,529.675524,7.2669,2.6436,4.348722,0.3638,85,0,0,18.931,0,0,0,2786,519.96711,855.345896,6.6597,1.088,1.78976,0.1634,1579,317.07649,521.5908261,6.1677,1.1374,1.871023,0.1844,4634,679.52258,1117.814644,6.3439,0.8673,1.4267085,0.1367
21,39429,2294,3773.63,7.4527,0.3829,0.6298705,0.0514,5068,754.46868,1241.100979,5.9725,0.8025,1.3201125,0.1344,83,53.23533,87.57211785,5.6927,3.5145,5.7813525,0.6174,505,160.63157,264.2389327,5.225,1.6554,2.723133,0.3168,81,33,54.285,26.045,10.4434,17.179393,0.401,3787,536.94322,883.2715969,7.3646,0.984,1.61868,0.1336,1154,264.26232,434.7115164,7.2675,1.6152,2.657004,0.2223,3154,547.81897,901.1622057,6.7707,1.0818,1.779561,0.1598
22,22112,1621,2666.545,6.924,0.4716,0.775782,0.0681,42836,2808,4619.16,9.9797,0.5552,0.913304,0.0556,522,138.36634,227.6126293,10.3881,2.6067,4.2880215,0.2509,736,179.16856,294.7322812,6.4212,1.4917,2.4538465,0.2323,12,0,0,3.8339,0.0442,0.072709,0.0115,4063,580.18088,954.3975476,6.7577,0.8764,1.441678,0.1297,2806,804.13732,1322.805891,10.2746,2.3372,3.844694,0.2275,4330,927.44022,1525.639162,6.1096,1.0888,1.791076,0.1782
23,5858,999.49721,1644.17291,4.816,0.663,1.090635,0.1377,268,165.65023,272.4946284,4.0581,2.0902,3.438379,0.5151,118,53.67805,88.30039225,11.6716,4.2258,6.951441,0.3621,56,44.54211,73.27177095,1.8146,1.4509,2.3867305,0.7995,.,.,.,.,.,.,.,308,137.04257,225.4350277,3.7055,1.6193,2.6637485,0.437,23,16.76305,27.57521725,1.7829,1.3553,2.2294685,0.7601,10,7.2111,11.8622595,0.4163,0.3024,0.497448,0.7263
24,12655,1152,1895.04,5.6352,0.4758,0.782691,0.0844,24277,1814,2984.03,8.481,0.5505,0.9055725,0.0649,193,117.44786,193.2017297,5.2134,3.0721,5.0536045,0.5893,2754,502.28735,826.2626908,6.1416,1.0618,1.746661,0.1729,20,0,0,14.0845,1.3886,2.284247,0.0986,5921,1030,1694.35,10.5726,1.6205,2.6657225,0.1533,9837,1180,1941.1,11.529,1.2176,2.002952,0.1056,15388,1588,2612.26,11.7625,1.0681,1.7570245,0.0908
25,16054,1266,2082.57,3.5439,0.2634,0.433293,0.0743,7043,1015,1669.675,6.888,0.8998,1.480171,0.1306,261,99.63433,163.8984729,7.1292,2.52,4.1454,0.3535,4391,550.31843,905.2738174,6.4234,0.7376,1.213352,0.1148,46,13,21.385,7.7181,2.3804,3.915758,0.3084,9201,1183,1946.035,6.9315,0.7624,1.254148,0.11,8027,999.3244,1643.888638,8.4084,0.9203,1.5138935,0.1094,18103,1741,2863.945,7.7673,0.6582,1.082739,0.0847
26,36110,1884,3099.18,4.7105,0.2273,0.3739085,0.0483,30367,2305,3791.725,8.6392,0.5807,0.9552515,0.0672,951,328.61915,540.5785018,10.8524,3.5194,5.789413,0.3243,1558,276.88496,455.4757592,4.2908,0.744,1.22388,0.1734,57,0,0,21.2687,0,0,0,8871,1123,1847.335,8.3769,0.9996,1.644342,0.1193,3211,632.59046,1040.611307,9.3653,1.6631,2.7357995,0.1776,8165,1003,1649.935,7.7691,0.9011,1.4823095,0.116
27,8629,1086,1786.47,2.8961,0.3502,0.576079,0.1209,7142,1302,2141.79,6.879,1.2068,1.985186,0.1754,1452,350.16147,576.0156182,10.3759,2.2634,3.723293,0.2181,3291,702.60101,1155.778661,8.9857,1.9963,3.2839135,0.2222,15,15,24.675,11.5385,8.6095,14.1626275,0.7462,2702,658.02367,1082.448937,5.7839,1.3764,2.264178,0.238,1819,528.32863,869.1005964,6.6021,1.8229,2.9986705,0.2761,3273,677.10853,1113.843532,5.8237,1.1374,1.871023,0.1953
28,14836,1237,2034.865,7.9704,0.6037,0.9930865,0.0757,32508,2197,3614.065,10.2845,0.5455,0.8973475,0.053,370,127.16656,209.1889912,12.2679,4.4034,7.243593,0.3589,111,59.48109,97.84639305,3.0106,1.6227,2.6693415,0.539,.,.,.,.,.,.,.,1489,317.45971,522.221223,6.7024,1.3806,2.271087,0.206,1363,352.60129,580.0291221,11.075,2.4763,4.0735135,0.2236,2032,455.02908,748.5228366,7.9425,1.6412,2.699774,0.2066
29,27538,1805,2969.225,5.7777,0.3476,0.571802,0.0602,8888,1142,1878.59,5.6421,0.6412,1.054774,0.1137,179,34.23449,56.31573605,5.4857,1.1075,1.8218375,0.2019,779,225.42035,370.8164758,5.3503,1.5053,2.4762185,0.2814,8,6,9.87,0.8105,0.6378,1.049181,0.7868,3299,492.71725,810.5198763,5.5077,0.7611,1.2520095,0.1382,1203,435.17329,715.8600621,6.3379,2.208,3.63216,0.3484,3659,638.88484,1050.965562,6.6991,1.0912,1.795024,0.1629
30,4139,882.7712,1452.158624,4.5272,0.9013,1.4826385,0.1991,.,.,#VALUE!,.,.,#VALUE!,.,3150,830.0253,1365.391619,14.6976,3.0886,5.080747,0.2101,.,.,#VALUE!,.,.,#VALUE!,.,.,.,.,.,.,.,.,451,160.7638,264.456451,4.2924,1.3674,2.249373,0.3186,309,149.3151,245.6233395,15.3731,6.2899,10.3468855,0.4091,447,193.86593,318.9094549,5.2856,2.2596,3.717042,0.4275
31,5094,819.52425,1348.117391,3.9306,0.5709,0.9391305,0.1452,1439,523.53281,861.2114725,7.0168,1.9905,3.2743725,0.2837,249,106.01604,174.3963858,9.0217,3.2653,5.3714185,0.3619,828,423.43406,696.5490287,13.777,5.7405,9.4431225,0.4167,.,.,.,.,.,.,.,1551,768.22803,1263.735109,6.9711,3.1597,5.1977065,0.4533,905,360.87819,593.6446226,7.693,2.6679,4.3886955,0.3468,3254,1092,1796.34,8.5121,2.4432,4.019064,0.287
32,12718,1302,2141.79,6.3625,0.5704,0.938308,0.0896,6762,1020,1677.9,9.4073,1.238,2.03651,0.1316,1047,234.64015,385.9830468,14.1315,2.5355,4.1708975,0.1794,3833,651.02701,1070.939431,11.5654,1.5318,2.519811,0.1324,389,139.87971,230.102123,11.7665,4.2489,6.9894405,0.3611,7061,875.75674,1440.619837,9.0949,0.9652,1.587754,0.1061,7391,987.6929,1624.754821,9.9539,1.0851,1.7849895,0.109,16046,1501,2469.145,9.4678,0.6618,1.088661,0.0699
33,5240,563.5956,927.114762,5.55,0.5897,0.9700565,0.1063,22,21.0238,34.584151,0.7092,0.693,1.139985,0.9771,.,.,#VALUE!,.,.,#VALUE!,.,178,82.06095,134.9902628,6.4751,2.735,4.499075,0.4224,7,0,0,23.3333,0,0,0,383,129.61867,213.2227122,4.6067,1.3757,2.2630265,0.2986,313,228.16003,375.3232494,14.4573,10.0808,16.582916,0.6973,775,328.61376,540.5696352,7.778,2.9574,4.864923,0.3802
