GEOID,DU_WeightedFrequency,StdErrWgtFreq,MOE_freq,DUpercent_prevalenceinPUMA,StdErrofRowPercent,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_StdErrWgtFreq,Poordu_MOE_freq,Poordu_percent,Poordu_StdErrofRowPercent,Poordu_MOE_percent,Poordu_CV_Percent,Renter_DU_WeightedFrequency,Renter_StdErrWgtFreq,Renter_MOE_freq,Renter_percent,Renter_StdErrofRowPercent,Renter_MOE_percent,Renter_CV_Percent,White_DU_WeightedFrequency,White_StdErrWgtFreq,White_MOE_freq,White_percent,White_StdErrofRowPercent,White_MOE_percent,White_CV_Percent,Black_DU_WeightedFrequency,Black_StdErrWgtFreq,Black_MOE_freq,Black_percent,Black_StdErrofRowPercent,Black_MOE_percent,Black_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_StdErrWgtFreq,AIAN_MOE_freq,AIAN_percent,AIAN_StdErrofRowPercent,AIAN_MOE_percent,AIAN_CV_Percent,Asian_DU_WeightedFrequency,Asian_StdErrWgtFreq,Asian_MOE_freq,Asian_percent,Asian_StdErrofRowPercent,Asian_MOE_percent,Asian_CV_Percent,NHOPI_DU_WeightedFrequency,NHOPI_StdErrWgtFreq,NHOPI_MOE_freq,NHOPI_percent,NHOPI_StdErrofRowPercent,NHOPI_MOE_percent,NHOPI_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_StdErrWgtFreq,Hispanic_MOE_freq,Hispanic_percent,Hispanic_StdErrofRowPercent,Hispanic_MOE_percent,Hispanic_CV_Percent,Other_DU_WeightedFrequency,Other_StdErrWgtFreq,Other_MOE_freq,Other_percent,Other_StdErrofRowPercent,Other_MOE_percent,Other_CV_Percent,Multi_DU_WeightedFrequency,Multi_StdErrWgtFreq,Multi_MOE_freq,Multi_percent,Multi_StdErrofRowPercent,Multi_MOE_percent,Multi_CV_Percent,White_Poordu_WeightedFrequency,White_Poordu_StdErrWgtFreq,White_Poordu_MOE_freq,White_Poordu_percent,White_Poordu_StdErrofRowPercent,White_Poordu_MOE_percent,White_Poordu_CV_Percent,Black_Poordu_WeightedFrequency,Black_Poordu_StdErrWgtFreq,Black_Poordu_MOE_freq,Black_Poordu_percent,Black_Poordu_StdErrofRowPercent,Black_Poordu_MOE_percent,Black_Poordu_CV_Percent,AIAN_Poordu_WeightedFrequency,AIAN_Poordu_StdErrWgtFreq,AIAN_Poordu_MOE_freq,AIAN_Poordu_percent,AIAN_Poordu_StdErrofRowPercent,AIAN_Poordu_MOE_percent,AIAN_Poordu_CV_Percent,Asian_Poordu_WeightedFrequency,Asian_Poordu_StdErrWgtFreq,Asian_Poordu_MOE_freq,Asian_Poordu_percent,Asian_Poordu_StdErrofRowPercent,Asian_Poordu_MOE_percent,Asian_Poordu_CV_Percent,NHOPI_Poordu_WeightedFrequency,NHOPI_Poordu_StdErrWgtFreq,NHOPI_Poordu_MOE_freq,NHOPI_Poordu_percent,NHOPI_Poordu_StdErrofRowPercent,NHOPI_Poordu_MOE_percent,NHOPI_Poordu_CV_Percent,Hisp_Poordu_WeightedFrequency,Hisp_Poordu_StdErrWgtFreq,Hisp_Poordu_MOE_freq,Hisp_Poordu_percent,Hisp_Poordu_StdErrofRowPercent,Hisp_Poordu_MOE_percent,Hisp_Poordu_CV_Percent,Other_Poordu_WeightedFrequency,Other_Poordu_StdErrWgtFreq,Other_Poordu_MOE_freq,Other_Poordu_percent,Other_Poordu_StdErrofRowPercent,Other_Poordu_MOE_percent,Other_Poordu_CV_Percent,Multi_Poordu_WeightedFrequency,Multi_Poordu_StdErrWgtFreq,Multi_Poordu_MOE_freq,Multi_Poordu_percent,Multi_Poordu_StdErrofRowPercent,Multi_Poordu_MOE_percent,Multi_Poordu_CV_Percent
5320900,273,91.80822,151.0245219,0.2507,0.0788,0.129626,0.3142,273,91.80822,151.0245219,2.3195,0.79990000000000006,1.3158355,0.3449,81,43.05955,70.83295975,0.3085,0.1588,0.261226,0.5148,200,87.71331,144.288395,0.2171,0.0906,0.149037,0.4173,6,6,9.87,0.8902,0.9543,1.5698235,1.072,27,12.28821,20.21410545,0.7833,0.3574,0.587923,0.4563,,,,,,,,,,,,,,,60,42.17671,69.38068795,0.9569,0.6295,1.0355275,0.6578,,,,,,,,40,38.95029,64.07322705,0.4518,0.4206,0.691887,0.9309,200,87.71331,144.288395,2.2523,1.0531,1.7323495,0.4676,6,6,9.87,7.7922,9.7836,16.094022,1.2556,27,12.28821,20.21410545,3.7604,1.6993,2.7953485,0.4519,,,,,,,,,,,,,,,60,41.88262,68.8969099,3.6408,2.2607,3.7188515,0.6209,,,,,,,,40,38.95029,64.07322705,2.3881,1.9727,3.2450915,0.826
5321101,526,152.593,251.015485,0.3778,0.1079,0.1774955,0.2855,526,152.593,251.015485,5.0138,1.7158,2.822491,0.3422,157,87.33699,143.6693486,0.6166,0.3537,0.5818365,0.5736,442,145.46005,239.2817823,0.3732,0.1238,0.203651,0.3316,,,,,,,,,,,,,,,59,59,97.055,1.6624,1.5795,2.5982775,0.9501,,,,,,,,9,9,14.805,0.0796,0.0839,0.1380155,1.0535,,,,,,,,25,17.86057,29.38063765,0.2045,0.1471,0.2419795,0.7194,442,145.46005,239.2817823,5.4313,2.068,3.40186,0.3807,,,,,,,,,,,,,,,59,59,97.055,14.4608,11.171,18.376295,0.7725,,,,,,,,9,9,14.805,0.5668,0.6328,1.040956,1.1165,,,,,,,,25,17.63004,29.0014158,1.7806,1.4169,2.3308005,0.7957
5321102,1007,352.14113,579.2721589,0.8468,0.2708,0.445466,0.3198,1007,352.14113,579.2721589,9.4253,2.3,3.7835,0.244,603,205.69152,338.3625504,1.9696,0.5667,0.9322215,0.2877,590,263.02281,432.6725225,0.6673,0.2854,0.469483,0.4277,24,24,39.48,1.0954,1.1124,1.829898,1.0155,,,,,,,,80,80,131.6,0.8724,0.8256,1.358112,0.9464,,,,,,,,204,138.43907,227.7322702,1.5889,0.9312,1.531824,0.586,193,138.70616,228.1716332,5.705,3.1831,5.2361995,0.558,120,76.214340000000007,125.3725893,0.8194,0.5194,0.854413,0.6339,590,263.02281,432.6725225,8.2402,3.0957,5.0924265,0.3757,24,24,39.48,17.6471,16.1401,26.5504645,0.9146,,,,,,,,80,80,131.6,11.0957,7.8927,12.9834915,0.7113,,,,,,,,204,135.54704,222.9748808,8.6514,2.9534,4.858343,0.3414,193,130.33879,214.4073096,23.4223,7.6277,12.5475665,0.3257,120,74.6921,122.8685045,6.6445,3.6151,5.9468395,0.5441
5321103,817,284.40266,467.8423757,0.6737,0.229,0.376705,0.3399,817,284.40266,467.8423757,4.5449,1.4684,2.415518,0.3231,242,88.14831,145.00397,0.3998,0.1415,0.2327675,0.3539,344,137.94338,226.9168601,0.4003,0.1606,0.264187,0.4011,,,,,,,,44,44,72.38,4.6218,4.8295,7.9445275,1.0449,17,17,27.965,0.3496,0.3269,0.5377505,0.9352,,,,,,,,344,154.27613,253.7842339,1.5784,0.6885,1.1325825,0.4362,107,54.44936,89.5691972,1.1727,0.5817,0.9568965,0.496,305,192.39088,316.4829976,2.1097,1.2298,2.023021,0.5829,344,137.94338,226.9168601,3.1301,1.2548,2.064146,0.4009,,,,,,,,44,44,72.38,64.7059,34.8847,57.3853315,0.5391,17,17,27.965,2.5526,1.1664,1.918728,0.457,,,,,,,,344,153.06992,251.8000184,8.1555,3.9255,6.4574475,0.4813,107,52.64892,86.6074734,4.9514,2.4307,3.9985015,0.4909,305,191.81919,315.5425676,11.2712,6.6463,10.9331635,0.5897
5321104,795,338.28797,556.4837107,0.6263,0.2525,0.4153625,0.4032,795,338.28797,556.4837107,7.0585,2.2856,3.759812,0.3238,537,323.74932,532.5676314,1.3003,0.7423,1.2210835,0.5709,328,160.83921,264.5805005,0.3335,0.1611,0.2650095,0.483,,,,,,,,,,,,,,,60,60,98.7,0.9914,0.9176,1.509452,0.9256,,,,,,,,397,326.02186,536.3059597,2.6525,2.0989,3.4526905,0.7913,75,75,123.375,1.629,1.7084,2.810318,1.0488,332,321.52994,528.9167513,2.6412,2.3031,3.7885995,0.872,328,160.83921,264.5805005,4.7495,1.87,3.07615,0.3937,,,,,,,,,,,,,,,60,60,98.7,6.9444,4.7905,7.8803725,0.6898,,,,,,,,397,323.91062,532.8329699,16.9658,8.7308,14.362166,0.5146,75,75,123.375,8.0559,8.713,14.332885,1.0816,332,321.15417,528.2986097,18.8422,8.7012,14.313474,0.4618
5321500,684,177.7994,292.480013,0.4944,0.1217,0.2001965,0.2461,684,177.7994,292.480013,4.1427,0.9344,1.537088,0.2256,123,37.46498,61.6298921,0.3155,0.1018,0.167461,0.3227,564,165.24111,271.821626,0.4863,0.1363,0.2242135,0.2802,24,24,39.48,2.5834,2.5059,4.1222055,0.97,,,,,,,,,,,,,,,,,,,,,,65,39.66106,65.2424437,0.4757,0.2788,0.458626,0.586,36,36,59.22,0.7658,0.7182,1.181439,0.9378,60,48.74423,80.18425835,0.4736,0.3806,0.626087,0.8037,564,165.24111,271.821626,4.462,1.1841,1.9478445,0.2654,24,24,39.48,6.5934,6.7423,11.0910835,1.0226,,,,,,,,,,,,,,,,,,,,,,65,39.37911,64.77863595,1.8582,0.9571,1.5744295,0.5151,36,36,59.22,4.3849,3.6543,6.0113235,0.8334,60,48.74423,80.18425835,2.845,2.1375,3.5161875,0.7513
5322500,746,232.53037,382.5124587,0.5301,0.1762,0.289849,0.3323,746,232.53037,382.5124587,3.6007,1.0422,1.714419,0.2894,257,82.89753,136.3664369,0.5449,0.1706,0.280637,0.3131,259,91.20513,150.0324389,0.2783,0.1086,0.178647,0.3902,,,,,,,,39,35.92492,59.0964934,2.3494,2.2532,3.706514,0.959,24,24,39.48,1.5047,1.5384,2.530668,1.0224,,,,,,,,452,194.41579,319.8139746,0.9715,0.4444,0.731038,0.4575,148,102.17448,168.0770196,0.6535,0.4542,0.747159,0.6951,276,144.73899,238.0956386,1.3573,0.7743,1.2737235,0.5705,259,91.20513,150.0324389,2.0287,0.7766,1.277507,0.3828,,,,,,,,39,35.62303,58.59988435,17.2566,11.6849,19.2216605,0.6771,24,24,39.48,6.9767,7.4012,12.174974,1.0608,,,,,,,,452,194.41579,319.8139746,4.8203,2.0295,3.3385275,0.421,148,101.95424,167.7147248,4.4551,2.7089,4.4561405,0.608,276,143.98889,236.8617241,7.2555,4.1972,6.904394,0.5785
5322700,1450,446.3768,734.289836,1.0432,0.3353,0.5515685,0.3214,1450,446.3768,734.289836,8.4386,2.3731,3.9037495,0.2812,621,261.90695,430.8369328,1.9687,0.8223,1.3526835,0.4177,927,420.59244,691.8745638,0.8314,0.3796,0.624442,0.4566,,,,,,,,107,63.3364,104.188378,2.4558,1.4827,2.4390415,0.6038,,,,,,,,,,,,,,,368,195.09709,320.9347131,2.3012,1.2721,2.0926045,0.5528,233,175.31543,288.3938824,3.2072,2.3323,3.8366335,0.7272,183,139.87092,230.0876634,1.4353,1.1091,1.8244695,0.7727,927,420.59244,691.8745638,7.7224,2.9272,4.815244,0.3791,,,,,,,,107,63.3364,104.188378,8.4518,5.4239,8.9223155,0.6417,,,,,,,,,,,,,,,368,192.9889,317.4667405,11.2332,5.5967,9.2065715,0.4982,233,172.92831,284.46707,13.7951,8.1299,13.3736855,0.5893,183,139.67558,229.7663291,10.7584,6.9468,11.427486,0.6457
5322900,559,151.4216,249.088532,0.5463,0.1451,0.2386895,0.2656,559,151.4216,249.088532,5.4041,1.2903,2.1225435,0.2388,319,111.75755,183.8411698,1.1515,0.3614,0.594503,0.3139,436,116.34485,191.3872783,0.5244,0.1304,0.214508,0.2487,,,,,,,,56,35.70014,58.7267303,6.1202,3.6707,6.0383015,0.5998,,,,,,,,,,,,,,,77,49.09175,80.75592875,0.9557,0.5846,0.961667,0.6118,44,44,72.38,1.3841,1.3075,2.1508375,0.9447,23,13.59228,22.3593006,0.2712,0.1686,0.277347,0.6217,436,116.34485,191.3872783,5.7687,1.2327,2.0277915,0.2137,,,,,,,,56,34.9961,57.5685845,20.5882,11.6626,19.184977,0.5665,,,,,,,,,,,,,,,77,48.951,80.524395,4.9201,2.5731,4.2327495,0.523,44,44,72.38,6.0274,4.2316,6.960982,0.7021,23,13.54253,22.27746185,1.8684,1.1788,1.939126,0.6309
5323301,264,109.72921,180.5045505,0.2087,0.085,0.139825,0.4073,264,109.72921,180.5045505,2.4636,0.961,1.580845,0.3901,91,52.941,87.087945,0.2554,0.146,0.24017,0.5718,183,91.32155,150.2239498,0.2175,0.1085,0.1784825,0.4987,,,,,,,,,,,,,,,27,18.84144,30.9941688,0.1412,0.0999,0.1643355,0.7075,,,,,,,,65,44.65143,73.45160235,0.6069,0.3958,0.651091,0.6522,30,30,49.35,0.609,0.5893,0.9693985,0.9676,24,24,39.48,0.188,0.1762,0.289849,0.9372,183,91.32155,150.2239498,2.7208,1.2417,2.0425965,0.4564,,,,,,,,,,,,,,,27,18.80248,30.9300796,2.3789,1.5796,2.598442,0.664,,,,,,,,65,42.72002,70.2744329,3.9346,2.0043,3.2970735,0.5094,30,30,49.35,4.0486,2.0173,3.3184585,0.4983,24,24,39.48,2.1145,2.3579,3.8787455,1.1151
